turbine_id,latitude,longitude
A4441,42.84821336,-76.20115378
A4448,43.2243219,-78.84384014
A4450,42.81924517,-76.19872728
A4456,43.04654402,-78.55046871
A4457,42.65773854,-76.58264746
A4458,42.85145682,-76.1859321
A4956,43.05389722,-78.54406111
A4945,42.84315235,-76.19423538
A4946,42.66352158,-76.61835215
A4949,43.26304252,-77.06442432
A4950,42.82826511,-78.54209559
A4954,43.05934882,-78.64406016
A4955,43.05505319,-78.53822646
A4962,43.0548519,-78.53786351
A4957,42.85834775,-74.45946825
A4958,42.27888087,-79.68528215
A4960,43.03289962,-78.58463077
A4961,43.02735137,-78.56310288
A4963,43.01177691,-78.46470604
A4963,43.05477283,-78.53824152
A4964,43.46336347,-76.2144408
A4965,43.06952239,-78.53098885
A4969,43.46525094,-76.2157977
A4970,43.13435525,-77.89440201
A4971,43.22131666,-78.20265224
A5013,43.09048905,-78.59443246
A5014,43.11127101,-78.17516611
A5019,43.22559999,-78.51475422
A5023,42.88949156,-77.87953053
A5070,42.95190173,-74.56217763
A5073,42.19114469,-79.74591313
